--------- beginning of main
02-13 10:09:29.780  2539  2620 E GlyphScraper: Scraping: 'All Star Tennis '99 (U) [!].z64' -> cleaned: 'All Star Tennis '99' [n64]
02-13 10:09:29.781  2539  2606 E GlyphScraper: Scraping: 'Donkey Kong 64 (U) [!].z64' -> cleaned: 'Donkey Kong 64' [n64]
02-13 10:09:29.781  2539  2619 E GlyphScraper: Scraping: 'Airboarder 64 (E) [!].z64' -> cleaned: 'Airboarder 64' [n64]
02-13 10:09:29.782  2539  2619 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Airboarder%2064.png
02-13 10:09:29.782  2539  2620 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All%20Star%20Tennis%20%2799.png
02-13 10:09:29.782  2539  2605 E GlyphScraper: Scraping: 'All-Star Baseball '99 (U) [!].z64' -> cleaned: 'All Star Baseball '99' [n64]
02-13 10:09:29.782  2539  2606 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Donkey%20Kong%2064.png
02-13 10:09:29.785  2539  2605 D GlyphScraper:     LibRetro trying: https://thumbnails.libretro.com/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All%20Star%20Baseball%20%2799.png
02-13 10:09:30.421  2539  2620 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:30.422  2539  2605 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:30.423  2539  2619 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:30.424  2539  2606 E GlyphScraper:   libretro -> no match, trying keyed APIs...
02-13 10:09:30.431  2539  2878 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:30.434  2539  2852 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:30.437  2539  2620 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:30.437  2539  2881 E GlyphScraper: Scrapers active: [rawg] (Keys: TGDB=false, RAWG=true, Moby=false)
02-13 10:09:31.983  2539  2852 E GlyphScraper:   RAWG candidate: 'Asphalt 8: Airborne' score=0.094736844 (required > 0.4)
02-13 10:09:31.983  2539  2852 E GlyphScraper:   RAWG candidate: 'J.E.R.O. (C64) Commodore 64' score=0.23555559 (required > 0.4)
02-13 10:09:31.983  2539  2852 E GlyphScraper:   RAWG candidate: 'Amazon Blocks (McKinley-64, renatarinaldi)' score=0.08571428 (required > 0.4)
02-13 10:09:31.983  2539  2852 E GlyphScraper:   RAWG candidate: 'Sub Mare Imperium: Derelict 64' score=0.24666667 (required > 0.4)
02-13 10:09:31.984  2539  2852 E GlyphScraper:   RAWG candidate: 'Adventure 64' score=0.36410257 (required > 0.4)
02-13 10:09:31.984  2539  2852 E GlyphScraper:   RAWG candidate: 'math 64' score=0.3179487 (required > 0.4)
02-13 10:09:31.984  2539  2852 E GlyphScraper:   RAWG candidate: 'Bombrun 64' score=0.36410257 (required > 0.4)
02-13 10:09:31.984  2539  2852 E GlyphScraper:   RAWG candidate: 'Araign├®e - Spider Thief (C64) Commodore 64' score=0.1857143 (required > 0.4)
02-13 10:09:31.984  2539  2852 E GlyphScraper:   RAWG candidate: 'Blizzard! Part II: Jihadi Moon (C64) Commodore 64' score=0.15464851 (required > 0.4)
02-13 10:09:31.985  2539  2852 E GlyphScraper:   RAWG candidate: '64 Pixels of Cute' score=0.11529412 (required > 0.4)
02-13 10:09:31.988  2539  2852 E GlyphScraper:   rawg -> no match
02-13 10:09:31.988  2539  2852 E GlyphScraper:   No results from any scraper
02-13 10:09:31.995  2539  2852 E GlyphScraper:   RAWG candidate: 'Sonic & SEGA All-Stars Racing' score=0.103448264 (required > 0.4)
02-13 10:09:31.995  2539  2852 E GlyphScraper:   RAWG candidate: 'Sonic & All-Stars Racing Transformed' score=0.16666669 (required > 0.4)
02-13 10:09:31.996  2539  2852 E GlyphScraper:   RAWG candidate: 'All-Star Basketball - Score with Super Power-Ups' score=0.21250002 (required > 0.4)
02-13 10:09:31.996  2539  2620 E GlyphScraper:   RAWG candidate: 'Donkey Kong's Shoot Characters' score=0.30666667 (required > 0.4)
02-13 10:09:31.996  2539  2852 E GlyphScraper:   RAWG candidate: 'Star Traders: Frontiers' score=0.14492756 (required > 0.4)
02-13 10:09:31.996  2539  2852 E GlyphScraper:   RAWG candidate: 'Baseball Riot' score=0.30857143 (required > 0.4)
02-13 10:09:31.996  2539  2852 E GlyphScraper:   RAWG candidate: 'Phantasy Star II' score=0.2095238 (required > 0.4)
02-13 10:09:31.996  2539  2620 E GlyphScraper:   RAWG candidate: 'Kong Pong v2.0' score=0.29428574 (required > 0.4)
02-13 10:09:31.997  2539  2852 E GlyphScraper:   RAWG candidate: 'Sentinel 4: Dark Star' score=0.11428572 (required > 0.4)
02-13 10:09:31.997  2539  2852 E GlyphScraper:   RAWG candidate: 'Star Traders: 4X Empires' score=0.15714288 (required > 0.4)
02-13 10:09:31.997  2539  2852 E GlyphScraper:   RAWG candidate: 'Agricola: All Creatures Big and Small' score=0.19039038 (required > 0.4)
02-13 10:09:31.997  2539  2620 E GlyphScraper:   RAWG candidate: 'King Oddball' score=0.08571428 (required > 0.4)
02-13 10:09:31.997  2539  2881 E GlyphScraper:   RAWG candidate: 'Sonic & SEGA All-Stars Racing' score=0.103448264 (required > 0.4)
02-13 10:09:31.997  2539  2852 E GlyphScraper:   RAWG candidate: 'Baseball Star' score=0.42857143 (required > 0.4)
02-13 10:09:31.998  2539  2620 E GlyphScraper:   RAWG candidate: 'The LionÔÇÖs Song' score=0.08 (required > 0.4)
02-13 10:09:31.998  2539  2881 E GlyphScraper:   RAWG candidate: 'Sonic & All-Stars Racing Transformed' score=0.16666669 (required > 0.4)
02-13 10:09:31.999  2539  2620 E GlyphScraper:   RAWG candidate: 'Kung Fury: Street Rage' score=0.10909092 (required > 0.4)
02-13 10:09:31.999  2539  2881 E GlyphScraper:   RAWG candidate: 'Tennis in the Face' score=0.12030077 (required > 0.4)
02-13 10:09:31.999  2539  2881 E GlyphScraper:   RAWG candidate: 'Star Traders: Frontiers' score=0.17101452 (required > 0.4)
02-13 10:09:31.999  2539  2881 E GlyphScraper:   RAWG candidate: 'Phantasy Star II' score=0.1614035 (required > 0.4)
02-13 10:09:31.999  2539  2881 E GlyphScraper:   RAWG candidate: 'Sentinel 4: Dark Star' score=0.11428572 (required > 0.4)
02-13 10:09:32.000  2539  2881 E GlyphScraper:   RAWG candidate: 'Star Traders: 4X Empires' score=0.15714288 (required > 0.4)
02-13 10:09:32.000  2539  2881 E GlyphScraper:   RAWG candidate: 'Agricola: All Creatures Big and Small' score=0.19039038 (required > 0.4)
02-13 10:09:32.000  2539  2620 E GlyphScraper:   RAWG candidate: 'King and Assassins: The Board Game' score=0.08823531 (required > 0.4)
02-13 10:09:32.000  2539  2881 E GlyphScraper:   RAWG candidate: 'PlayStation All-Stars Island' score=0.17142856 (required > 0.4)
02-13 10:09:32.000  2539  2881 E GlyphScraper:   RAWG candidate: 'Power Rangers: All Stars' score=0.13214287 (required > 0.4)
02-13 10:09:32.001  2539  2620 E GlyphScraper:   RAWG candidate: 'THE KING OF FIGHTERS '98' score=0.10000002 (required > 0.4)
02-13 10:09:32.002  2539  2620 E GlyphScraper:   RAWG candidate: 'King of Dragon Pass' score=0.12631577 (required > 0.4)
02-13 10:09:32.003  2539  2620 E GlyphScraper:   RAWG candidate: 'Bloons Monkey City' score=0.13333333 (required > 0.4)
02-13 10:09:32.003  2539  2620 E GlyphScraper:   RAWG candidate: 'THE KING OF FIGHTERS '97' score=0.10000002 (required > 0.4)
02-13 10:09:32.008  2539  2620 E GlyphScraper:   rawg -> no match
02-13 10:09:32.008  2539  2620 E GlyphScraper:   No results from any scraper
02-13 10:09:32.077  2539  2852 D GlyphScraper:     RAWG match: 'Baseball Star' (screenshot, not box art)
02-13 10:09:32.078  2539  2852 E GlyphScraper:   rawg -> title='Baseball Star' hasImage=true
02-13 10:09:33.572  2539  2852 E GlyphScraper:   RAWG candidate: 'Sonic & SEGA All-Stars Racing' score=0.103448264 (required > 0.4)
02-13 10:09:33.572  2539  2852 E GlyphScraper:   RAWG candidate: 'Sonic & All-Stars Racing Transformed' score=0.16666669 (required > 0.4)
